imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0042477,"Francesco, giullare di Dio",1950,1950-12-15,"Biography, Drama, History",85,Italy,Italian,7.4,,$ 4223
tt0042530,Gun Crazy,1950,1951-03-13,"Crime, Drama, Film-Noir",87,USA,English,7.6,$ 400000,$ 17322
tt0042593,In a Lonely Place,1950,1951-08-01,"Drama, Film-Noir, Mystery",94,USA,English,8.0,,$ 21493
tt0042619,Journal d'un curé de campagne,1951,1952-06-05,Drama,115,France,French,7.9,,$ 47000
tt0042727,The Men,1950,1953-05-06,Drama,85,USA,"English, Spanish",7.1,,$ 5995
tt0042735,The Miniver Story,1950,1950-10-26,Drama,104,UK,English,6.5,,$ 4848320
tt0042788,Night and the City,1950,1951-01-17,"Crime, Film-Noir, Mystery",101,"UK, USA",English,7.9,,$ 43024
tt0042803,Olivia,1951,1951-04-27,"Comedy, Drama",95,France,"Italian, English, French",6.9,,$ 9934
tt0042804,Los olvidados,1950,1964-02-19,"Crime, Drama",85,Mexico,Spanish,8.3,,$ 134613
tt0042876,Rashômon,1950,1952-03-11,"Crime, Drama, Mystery",88,Japan,Japanese,8.2,$ 250000,$ 46808
tt0042906,La ronde,1950,1959-01-16,"Drama, Romance",93,France,French,7.6,,$ 852
tt0043014,Sunset Blvd.,1950,1951-03-06,"Drama, Film-Noir",110,USA,English,8.4,$ 1752000,$ 299645
tt0043048,Till glädje,1950,1950-02-20,Drama,98,Sweden,Swedish,7.2,,$ 5135
tt0043067,Treasure Island,1950,1951-03-08,"Adventure, Family",96,"UK, USA",English,6.9,,$ 4419657
tt0043265,The African Queen,1951,1952-11-26,"Adventure, Drama, Romance",105,"UK, USA","English, German, Swahili",7.7,$ 1000000,$ 51357
tt0043278,An American in Paris,1951,1952-09-06,"Drama, Musical, Romance",114,USA,"English, French, German",7.2,$ 2723903,$ 272619
tt0043338,Ace in the Hole,1951,1952-02-20,"Drama, Film-Noir",111,USA,"English, Spanish, Latin",8.1,$ 1800000,$ 2300000
tt0043511,Europa '51,1952,1953-04-15,Drama,118,Italy,Italian,7.5,,$ 9269
tt0043588,The Girl on the Bridge,1951,1951-12-01,"Crime, Drama",76,USA,English,6.7,,$ 1709141
